;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;
File POP/2: Average annual rate of population change by major area, region and country, 1950-2100 (percentage);;;;;;;;;;;;;;;;;;;;;
Instant-replacement-fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F02;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;Average annual rate of population change (percentage);;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015-2020;2020-2025;2025-2030;2030-2035;2035-2040;2040-2045;2045-2050;2050-2055;2055-2060;2060-2065;2065-2070;2070-2075;2075-2080;2080-2085;2085-2090;2090-2095;2095-2100
1;Instant-replacement;WORLD;;900;0.91;0.82;0.74;0.67;0.59;0.50;0.43;0.37;0.31;0.26;0.22;0.19;0.17;0.15;0.15;0.15;0.15
2;Instant-replacement;More developed regions;a;901;0.49;0.38;0.29;0.21;0.18;0.20;0.24;0.26;0.25;0.23;0.23;0.26;0.30;0.34;0.34;0.33;0.31
3;Instant-replacement;Less developed regions;b;902;1.00;0.91;0.83;0.75;0.66;0.56;0.46;0.39;0.32;0.26;0.22;0.17;0.14;0.12;0.12;0.12;0.13
4;Instant-replacement;Least developed countries;c;941;1.08;1.19;1.27;1.27;1.15;0.94;0.76;0.65;0.59;0.52;0.43;0.31;0.21;0.14;0.10;0.09;0.10
5;Instant-replacement;Less developed regions, excluding least developed countries;d;934;0.98;0.86;0.74;0.65;0.56;0.48;0.40;0.33;0.26;0.20;0.17;0.14;0.13;0.12;0.12;0.13;0.13
6;Instant-replacement;Less developed regions, excluding China;;948;1.06;1.03;0.99;0.92;0.81;0.68;0.57;0.48;0.42;0.36;0.29;0.23;0.18;0.15;0.13;0.13;0.13
7;Instant-replacement;High-income countries;e;1503;0.64;0.52;0.43;0.35;0.30;0.28;0.30;0.31;0.29;0.26;0.25;0.26;0.29;0.32;0.33;0.32;0.30
8;Instant-replacement;Middle-income countries;e;1517;0.97;0.85;0.75;0.66;0.57;0.49;0.41;0.33;0.26;0.21;0.17;0.14;0.13;0.11;0.11;0.12;0.13
9;Instant-replacement;Upper-middle-income countries;e;1502;0.88;0.65;0.49;0.38;0.32;0.28;0.24;0.17;0.09;0.03;0.02;0.04;0.06;0.07;0.09;0.10;0.12
10;Instant-replacement;Lower-middle-income countries;e;1501;1.04;1.01;0.95;0.87;0.76;0.64;0.53;0.45;0.39;0.33;0.27;0.22;0.17;0.14;0.13;0.13;0.13
