;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;
File POP/2: Average annual rate of population change by major area, region and country, 1950-2100 (percentage);;;;;;;;;;;;;;;;;;;;;
No change variant (constant-fertility and constant-mortality), 2015 - 2100;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F02;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;Average annual rate of population change (percentage);;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015-2020;2020-2025;2025-2030;2030-2035;2035-2040;2040-2045;2045-2050;2050-2055;2055-2060;2060-2065;2065-2070;2070-2075;2075-2080;2080-2085;2085-2090;2090-2095;2095-2100
1;No change;WORLD;;900;1.10;1.01;0.94;0.88;0.85;0.85;0.86;0.89;0.94;1.02;1.11;1.21;1.32;1.43;1.54;1.65;1.75
2;No change;More developed regions;a;901;0.15;0.02;-0.08;-0.16;-0.23;-0.28;-0.31;-0.34;-0.35;-0.35;-0.34;-0.33;-0.32;-0.31;-0.31;-0.33;-0.34
3;No change;Less developed regions;b;902;1.29;1.20;1.12;1.06;1.02;1.01;1.02;1.05;1.10;1.17;1.26;1.36;1.46;1.57;1.67;1.77;1.87
4;No change;Least developed countries;c;941;2.45;2.47;2.47;2.44;2.42;2.44;2.46;2.49;2.52;2.56;2.59;2.63;2.68;2.72;2.76;2.80;2.83
5;No change;Less developed regions, excluding least developed countries;d;934;1.07;0.93;0.81;0.72;0.65;0.60;0.56;0.54;0.55;0.58;0.63;0.69;0.77;0.85;0.92;1.00;1.07
6;No change;Less developed regions, excluding China;;948;1.58;1.52;1.46;1.39;1.36;1.35;1.36;1.38;1.41;1.45;1.51;1.59;1.67;1.75;1.84;1.92;1.99
7;No change;High-income countries;e;1503;0.35;0.22;0.11;0.03;-0.05;-0.10;-0.14;-0.17;-0.19;-0.19;-0.18;-0.17;-0.15;-0.14;-0.13;-0.12;-0.12
8;No change;Middle-income countries;e;1517;1.09;0.97;0.86;0.77;0.71;0.67;0.64;0.63;0.65;0.69;0.75;0.82;0.90;0.99;1.08;1.16;1.24
9;No change;Upper-middle-income countries;e;1502;0.61;0.39;0.23;0.11;0.00;-0.10;-0.20;-0.26;-0.27;-0.24;-0.19;-0.11;0.01;0.14;0.27;0.39;0.52
10;No change;Lower-middle-income countries;e;1501;1.48;1.41;1.32;1.23;1.17;1.14;1.12;1.11;1.11;1.12;1.15;1.20;1.25;1.30;1.36;1.41;1.46
