;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
United Nations;;;;;;;;;;;;;;;;;;;;;;
Population Division;;;;;;;;;;;;;;;;;;;;;;
Department of Economic and Social Affairs;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
World Population Prospects: The 2015 Revision;;;;;;;;;;;;;;;;;;;;;;
File POP/5: Median age by major area, region and country, 1950-2100 (years);;;;;;;;;;;;;;;;;;;;;;
Medium fertility variant, 2015 - 2100;;;;;;;;;;;;;;;;;;;;;;
POP/DB/WPP/Rev.2015/POP/F05;;;;;;;;;;;;;;;;;;;;;;
July 2015 - Copyright © 2015 by United Nations. All rights reserved;;;;;;;;;;;;;;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2015). World Population Prospects: The 2015 Revision, DVD Edition.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;Median age of the total population (years);;;;;;;;;;;;;;;;;
Index;Variant;Major area, region, country or area *;Notes;Country code;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
1;Medium variant;WORLD;;900;29.6;30.9;32.1;33.1;33.9;34.6;35.4;36.1;36.9;37.5;38.1;38.6;39.1;39.6;40.1;40.6;41.2;41.7
2;Medium variant;More developed regions;a;901;41.2;42.2;43.1;44.1;45.0;45.4;45.3;45.1;45.2;45.3;45.4;45.6;45.6;45.6;45.7;45.9;46.3;46.6
3;Medium variant;Less developed regions;b;902;27.8;29.1;30.3;31.3;32.3;33.2;34.0;34.9;35.8;36.5;37.1;37.7;38.3;38.8;39.4;40.0;40.5;41.1
4;Medium variant;Least developed countries;c;941;19.7;20.5;21.4;22.3;23.2;24.1;25.1;26.1;27.1;28.1;29.1;30.0;31.0;32.0;32.9;33.9;34.8;35.7
5;Medium variant;Less developed regions, excluding least developed countries;d;934;29.3;30.9;32.4;33.8;34.9;35.9;36.9;37.8;38.8;39.7;40.4;40.9;41.4;41.9;42.4;42.9;43.4;43.9
6;Medium variant;Less developed regions, excluding China;;948;25.2;26.3;27.4;28.5;29.5;30.6;31.6;32.6;33.6;34.4;35.2;36.0;36.7;37.4;38.1;38.8;39.5;40.1
7;Medium variant;High-income countries;e;1503;39.7;40.7;41.8;42.9;43.8;44.4;44.6;44.7;44.9;45.1;45.4;45.6;45.8;45.9;46.0;46.3;46.6;46.9
8;Medium variant;Middle-income countries;e;1517;28.9;30.4;31.9;33.2;34.2;35.2;36.2;37.1;38.1;38.9;39.6;40.1;40.6;41.1;41.6;42.1;42.6;43.1
9;Medium variant;Upper-middle-income countries;e;1502;33.5;35.2;37.5;39.7;41.5;42.7;43.5;44.1;44.8;45.6;46.2;46.6;46.6;46.6;46.6;46.8;47.0;47.3
10;Medium variant;Lower-middle-income countries;e;1501;25.3;26.5;27.7;28.8;30.0;31.1;32.3;33.4;34.4;35.4;36.3;37.2;37.9;38.7;39.4;40.1;40.7;41.3
